"","date","produced_items","cost","cost.prev_month","cost.change_prev_month","cost.prev_year","cost.change_prev_year","orders_count","revenue","complaints_opened","complaints_closed","users_active","users_dropped_out","profit","profit.prev_month","profit.change_prev_month","profit.prev_year","profit.change_prev_year","orders_count.prev_month","orders_count.change_prev_month","orders_count.prev_year","orders_count.change_prev_year","revenue.prev_month","revenue.change_prev_month","revenue.prev_year","revenue.change_prev_year","produced_items.prev_month","produced_items.change_prev_month","produced_items.prev_year","produced_items.change_prev_year","users_active.prev_month","users_active.change_prev_month","users_active.prev_year","users_active.change_prev_year","users_dropped_out.prev_month","users_dropped_out.change_prev_month","users_dropped_out.prev_year","users_dropped_out.change_prev_year","complaints_opened.prev_month","complaints_opened.change_prev_month","complaints_opened.prev_year","complaints_opened.change_prev_year","complaints_closed.prev_month","complaints_closed.change_prev_month","complaints_closed.prev_year","complaints_closed.change_prev_year"
"11",2016-01-11,115,678,NA,NA,NA,NA,143,2288,90,76,561,120,1610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2016-01-12,104,612,NA,NA,NA,NA,158,2528,92,84,606,111,1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2016-01-13,96,564,NA,NA,NA,NA,139,2224,93,79,549,117,1660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2016-01-14,110,648,NA,NA,NA,NA,184,2944,96,88,684,127,2296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2016-01-15,96,564,NA,NA,NA,NA,99,1584,92,80,429,91,1020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2016-01-16,92,540,NA,NA,NA,NA,159,2544,87,71,609,112,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2016-01-17,120,708,NA,NA,NA,NA,137,2192,81,67,543,115,1484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2016-01-18,104,612,NA,NA,NA,NA,142,2272,87,78,558,106,1660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2016-01-19,117,690,NA,NA,NA,NA,137,2192,90,78,543,107,1502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2016-01-20,95,558,NA,NA,NA,NA,107,1712,90,75,453,103,1154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2016-01-21,109,642,NA,NA,NA,NA,126,2016,88,80,510,104,1374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2016-01-22,113,666,NA,NA,NA,NA,126,2016,86,75,510,89,1350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2016-01-23,118,696,NA,NA,NA,NA,136,2176,90,77,540,121,1480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2016-01-24,110,648,NA,NA,NA,NA,121,1936,88,76,495,99,1288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2016-01-25,117,690,NA,NA,NA,NA,185,2960,84,72,687,125,2270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2016-01-26,97,570,NA,NA,NA,NA,140,2240,98,87,552,119,1670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2016-01-27,99,582,NA,NA,NA,NA,62,992,89,77,318,50,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2016-01-28,92,540,NA,NA,NA,NA,135,2160,92,76,537,112,1620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2016-01-29,98,576,NA,NA,NA,NA,130,2080,95,87,522,121,1504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2016-01-30,113,666,NA,NA,NA,NA,144,2304,101,85,564,95,1638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2016-01-31,95,558,NA,NA,NA,NA,109,1744,93,83,459,94,1186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2016-02-01,96,564,708,-144,NA,NA,158,2528,88,74,606,115,1964,1036,928,NA,NA,109,49,NA,NA,1744,784,NA,NA,120,-24,NA,NA,459,147,NA,NA,80,35,NA,NA,94,-6,NA,NA,71,3,NA,NA
"33",2016-02-02,104,612,558,54,NA,NA,130,2080,96,83,522,122,1468,1106,362,NA,NA,104,26,NA,NA,1664,416,NA,NA,95,9,NA,NA,444,78,NA,NA,93,29,NA,NA,91,5,NA,NA,77,6,NA,NA
"34",2016-02-03,94,552,612,-60,NA,NA,129,2064,90,80,519,103,1512,1660,-148,NA,NA,142,-13,NA,NA,2272,-208,NA,NA,104,-10,NA,NA,558,-39,NA,NA,100,3,NA,NA,88,2,NA,NA,77,3,NA,NA
"35",2016-02-04,111,654,672,-18,NA,NA,182,2912,91,82,678,123,2258,2128,130,NA,NA,175,7,NA,NA,2800,112,NA,NA,114,-3,NA,NA,657,21,NA,NA,127,-4,NA,NA,91,0,NA,NA,77,5,NA,NA
"36",2016-02-05,101,594,678,-84,NA,NA,126,2016,93,79,510,111,1422,1290,132,NA,NA,123,3,NA,NA,1968,48,NA,NA,115,-14,NA,NA,501,9,NA,NA,109,2,NA,NA,92,1,NA,NA,85,-6,NA,NA
"37",2016-02-06,93,546,684,-138,NA,NA,126,2016,102,89,510,89,1470,1492,-22,NA,NA,136,-10,NA,NA,2176,-160,NA,NA,116,-23,NA,NA,540,-30,NA,NA,106,-17,NA,NA,87,15,NA,NA,74,15,NA,NA
"38",2016-02-07,120,708,576,132,NA,NA,128,2048,89,78,516,109,1340,1264,76,NA,NA,115,13,NA,NA,1840,208,NA,NA,98,22,NA,NA,477,39,NA,NA,101,8,NA,NA,94,-5,NA,NA,79,-1,NA,NA
"39",2016-02-08,91,534,696,-162,NA,NA,128,2048,86,77,516,98,1514,728,786,NA,NA,89,39,NA,NA,1424,624,NA,NA,118,-27,NA,NA,399,117,NA,NA,88,10,NA,NA,91,-5,NA,NA,79,-2,NA,NA
"40",2016-02-09,92,540,648,-108,NA,NA,116,1856,88,75,480,111,1316,1720,-404,NA,NA,148,-32,NA,NA,2368,-512,NA,NA,110,-18,NA,NA,576,-96,NA,NA,92,19,NA,NA,91,-3,NA,NA,83,-8,NA,NA
"41",2016-02-10,104,612,666,-54,NA,NA,127,2032,83,69,513,106,1420,1510,-90,NA,NA,136,-9,NA,NA,2176,-144,NA,NA,113,-9,NA,NA,540,-27,NA,NA,116,-10,NA,NA,98,-15,NA,NA,83,-14,NA,NA
"42",2016-02-11,108,636,678,-42,NA,NA,124,1984,95,83,504,100,1348,1610,-262,NA,NA,143,-19,NA,NA,2288,-304,NA,NA,115,-7,NA,NA,561,-57,NA,NA,120,-20,NA,NA,90,5,NA,NA,76,7,NA,NA
"43",2016-02-12,90,528,612,-84,NA,NA,117,1872,93,80,483,84,1344,1916,-572,NA,NA,158,-41,NA,NA,2528,-656,NA,NA,104,-14,NA,NA,606,-123,NA,NA,111,-27,NA,NA,92,1,NA,NA,84,-4,NA,NA
"44",2016-02-13,116,684,564,120,NA,NA,115,1840,90,79,477,101,1156,1660,-504,NA,NA,139,-24,NA,NA,2224,-384,NA,NA,96,20,NA,NA,549,-72,NA,NA,117,-16,NA,NA,93,-3,NA,NA,79,0,NA,NA
"45",2016-02-14,113,666,648,18,NA,NA,177,2832,85,75,663,124,2166,2296,-130,NA,NA,184,-7,NA,NA,2944,-112,NA,NA,110,3,NA,NA,684,-21,NA,NA,127,-3,NA,NA,96,-11,NA,NA,88,-13,NA,NA
"46",2016-02-15,97,570,564,6,NA,NA,140,2240,94,79,552,114,1670,1020,650,NA,NA,99,41,NA,NA,1584,656,NA,NA,96,1,NA,NA,429,123,NA,NA,91,23,NA,NA,92,2,NA,NA,80,-1,NA,NA
"47",2016-02-16,114,672,540,132,NA,NA,149,2384,84,74,579,115,1712,2004,-292,NA,NA,159,-10,NA,NA,2544,-160,NA,NA,92,22,NA,NA,609,-30,NA,NA,112,3,NA,NA,87,-3,NA,NA,71,3,NA,NA
"48",2016-02-17,107,630,708,-78,NA,NA,161,2576,89,74,615,115,1946,1484,462,NA,NA,137,24,NA,NA,2192,384,NA,NA,120,-13,NA,NA,543,72,NA,NA,115,0,NA,NA,81,8,NA,NA,67,7,NA,NA
"49",2016-02-18,115,678,612,66,NA,NA,94,1504,97,84,414,99,826,1660,-834,NA,NA,142,-48,NA,NA,2272,-768,NA,NA,104,11,NA,NA,558,-144,NA,NA,106,-7,NA,NA,87,10,NA,NA,78,6,NA,NA
"50",2016-02-19,111,654,690,-36,NA,NA,143,2288,89,78,561,99,1634,1502,132,NA,NA,137,6,NA,NA,2192,96,NA,NA,117,-6,NA,NA,543,18,NA,NA,107,-8,NA,NA,90,-1,NA,NA,78,0,NA,NA
"51",2016-02-20,116,684,558,126,NA,NA,92,1472,85,77,408,81,788,1154,-366,NA,NA,107,-15,NA,NA,1712,-240,NA,NA,95,21,NA,NA,453,-45,NA,NA,103,-22,NA,NA,90,-5,NA,NA,75,2,NA,NA
"52",2016-02-21,112,660,642,18,NA,NA,161,2576,101,87,615,123,1916,1374,542,NA,NA,126,35,NA,NA,2016,560,NA,NA,109,3,NA,NA,510,105,NA,NA,104,19,NA,NA,88,13,NA,NA,80,7,NA,NA
"53",2016-02-22,114,672,666,6,NA,NA,153,2448,95,80,591,128,1776,1350,426,NA,NA,126,27,NA,NA,2016,432,NA,NA,113,1,NA,NA,510,81,NA,NA,89,39,NA,NA,86,9,NA,NA,75,5,NA,NA
"54",2016-02-23,114,672,696,-24,NA,NA,175,2800,89,82,657,123,2128,1480,648,NA,NA,136,39,NA,NA,2176,624,NA,NA,118,-4,NA,NA,540,117,NA,NA,121,2,NA,NA,90,-1,NA,NA,77,5,NA,NA
"55",2016-02-24,96,564,648,-84,NA,NA,134,2144,92,75,534,113,1580,1288,292,NA,NA,121,13,NA,NA,1936,208,NA,NA,110,-14,NA,NA,495,39,NA,NA,99,14,NA,NA,88,4,NA,NA,76,-1,NA,NA
"56",2016-02-25,114,672,690,-18,NA,NA,112,1792,95,89,468,101,1120,2270,-1150,NA,NA,185,-73,NA,NA,2960,-1168,NA,NA,117,-3,NA,NA,687,-219,NA,NA,125,-24,NA,NA,84,11,NA,NA,72,17,NA,NA
"57",2016-02-26,103,606,570,36,NA,NA,132,2112,94,76,528,89,1506,1670,-164,NA,NA,140,-8,NA,NA,2240,-128,NA,NA,97,6,NA,NA,552,-24,NA,NA,119,-30,NA,NA,98,-4,NA,NA,87,-11,NA,NA
"58",2016-02-27,92,540,582,-42,NA,NA,112,1792,84,75,468,89,1252,410,842,NA,NA,62,50,NA,NA,992,800,NA,NA,99,-7,NA,NA,318,150,NA,NA,50,39,NA,NA,89,-5,NA,NA,77,-2,NA,NA
"59",2016-02-28,115,678,540,138,NA,NA,121,1936,78,68,495,111,1258,1620,-362,NA,NA,135,-14,NA,NA,2160,-224,NA,NA,92,23,NA,NA,537,-42,NA,NA,112,-1,NA,NA,92,-14,NA,NA,76,-8,NA,NA
"60",2016-02-29,116,684,576,108,NA,NA,93,1488,92,76,411,78,804,1504,-700,NA,NA,130,-37,NA,NA,2080,-592,NA,NA,98,18,NA,NA,522,-111,NA,NA,121,-43,NA,NA,95,-3,NA,NA,87,-11,NA,NA
"61",2016-03-01,120,708,564,144,NA,NA,96,1536,88,80,420,82,828,1964,-1136,NA,NA,158,-62,NA,NA,2528,-992,NA,NA,96,24,NA,NA,606,-186,NA,NA,115,-33,NA,NA,88,0,NA,NA,74,6,NA,NA
"62",2016-03-02,119,702,612,90,NA,NA,119,1904,91,77,489,115,1202,1468,-266,NA,NA,130,-11,NA,NA,2080,-176,NA,NA,104,15,NA,NA,522,-33,NA,NA,122,-7,NA,NA,96,-5,NA,NA,83,-6,NA,NA
"63",2016-03-03,111,654,552,102,NA,NA,101,1616,89,79,435,74,962,1512,-550,NA,NA,129,-28,NA,NA,2064,-448,NA,NA,94,17,NA,NA,519,-84,NA,NA,103,-29,NA,NA,90,-1,NA,NA,80,-1,NA,NA
"64",2016-03-04,92,540,654,-114,NA,NA,99,1584,90,77,429,101,1044,2258,-1214,NA,NA,182,-83,NA,NA,2912,-1328,NA,NA,111,-19,NA,NA,678,-249,NA,NA,123,-22,NA,NA,91,-1,NA,NA,82,-5,NA,NA
"65",2016-03-05,113,666,594,72,NA,NA,56,896,91,75,300,55,230,1422,-1192,NA,NA,126,-70,NA,NA,2016,-1120,NA,NA,101,12,NA,NA,510,-210,NA,NA,111,-56,NA,NA,93,-2,NA,NA,79,-4,NA,NA
"66",2016-03-06,117,690,546,144,NA,NA,135,2160,87,79,537,111,1470,1470,0,NA,NA,126,9,NA,NA,2016,144,NA,NA,93,24,NA,NA,510,27,NA,NA,89,22,NA,NA,102,-15,NA,NA,89,-10,NA,NA
"67",2016-03-07,100,588,708,-120,NA,NA,93,1488,87,76,411,70,900,1340,-440,NA,NA,128,-35,NA,NA,2048,-560,NA,NA,120,-20,NA,NA,516,-105,NA,NA,109,-39,NA,NA,89,-2,NA,NA,78,-2,NA,NA
"68",2016-03-08,94,552,534,18,NA,NA,88,1408,90,79,396,85,856,1514,-658,NA,NA,128,-40,NA,NA,2048,-640,NA,NA,91,3,NA,NA,516,-120,NA,NA,98,-13,NA,NA,86,4,NA,NA,77,2,NA,NA
"69",2016-03-09,98,576,540,36,NA,NA,108,1728,97,79,456,98,1152,1316,-164,NA,NA,116,-8,NA,NA,1856,-128,NA,NA,92,6,NA,NA,480,-24,NA,NA,111,-13,NA,NA,88,9,NA,NA,75,4,NA,NA
"70",2016-03-10,106,624,612,12,NA,NA,143,2288,86,78,561,110,1664,1420,244,NA,NA,127,16,NA,NA,2032,256,NA,NA,104,2,NA,NA,513,48,NA,NA,106,4,NA,NA,83,3,NA,NA,69,9,NA,NA
"71",2016-03-11,106,624,636,-12,NA,NA,90,1440,100,87,402,79,816,1348,-532,NA,NA,124,-34,NA,NA,1984,-544,NA,NA,108,-2,NA,NA,504,-102,NA,NA,100,-21,NA,NA,95,5,NA,NA,83,4,NA,NA
"72",2016-03-12,105,618,528,90,NA,NA,138,2208,86,76,546,105,1590,1344,246,NA,NA,117,21,NA,NA,1872,336,NA,NA,90,15,NA,NA,483,63,NA,NA,84,21,NA,NA,93,-7,NA,NA,80,-4,NA,NA
"73",2016-03-13,107,630,684,-54,NA,NA,121,1936,86,72,495,95,1306,1156,150,NA,NA,115,6,NA,NA,1840,96,NA,NA,116,-9,NA,NA,477,18,NA,NA,101,-6,NA,NA,90,-4,NA,NA,79,-7,NA,NA
"74",2016-03-14,110,648,666,-18,NA,NA,118,1888,95,80,486,91,1240,2166,-926,NA,NA,177,-59,NA,NA,2832,-944,NA,NA,113,-3,NA,NA,663,-177,NA,NA,124,-33,NA,NA,85,10,NA,NA,75,5,NA,NA
"75",2016-03-15,120,708,570,138,NA,NA,139,2224,95,87,549,114,1516,1670,-154,NA,NA,140,-1,NA,NA,2240,-16,NA,NA,97,23,NA,NA,552,-3,NA,NA,114,0,NA,NA,94,1,NA,NA,79,8,NA,NA
"76",2016-03-16,111,654,672,-18,NA,NA,84,1344,92,79,384,79,690,1712,-1022,NA,NA,149,-65,NA,NA,2384,-1040,NA,NA,114,-3,NA,NA,579,-195,NA,NA,115,-36,NA,NA,84,8,NA,NA,74,5,NA,NA
"77",2016-03-17,102,600,630,-30,NA,NA,150,2400,93,83,582,116,1800,1946,-146,NA,NA,161,-11,NA,NA,2576,-176,NA,NA,107,-5,NA,NA,615,-33,NA,NA,115,1,NA,NA,89,4,NA,NA,74,9,NA,NA
"78",2016-03-18,111,654,678,-24,NA,NA,98,1568,89,72,426,92,914,826,88,NA,NA,94,4,NA,NA,1504,64,NA,NA,115,-4,NA,NA,414,12,NA,NA,99,-7,NA,NA,97,-8,NA,NA,84,-12,NA,NA
"79",2016-03-19,93,546,654,-108,NA,NA,98,1568,83,75,426,89,1022,1634,-612,NA,NA,143,-45,NA,NA,2288,-720,NA,NA,111,-18,NA,NA,561,-135,NA,NA,99,-10,NA,NA,89,-6,NA,NA,78,-3,NA,NA
"80",2016-03-20,120,708,684,24,NA,NA,173,2768,91,81,651,125,2060,788,1272,NA,NA,92,81,NA,NA,1472,1296,NA,NA,116,4,NA,NA,408,243,NA,NA,81,44,NA,NA,85,6,NA,NA,77,4,NA,NA
"81",2016-03-21,104,612,660,-48,NA,NA,111,1776,87,73,465,75,1164,1916,-752,NA,NA,161,-50,NA,NA,2576,-800,NA,NA,112,-8,NA,NA,615,-150,NA,NA,123,-48,NA,NA,101,-14,NA,NA,87,-14,NA,NA
"82",2016-03-22,90,528,672,-144,NA,NA,66,1056,92,79,330,74,528,1776,-1248,NA,NA,153,-87,NA,NA,2448,-1392,NA,NA,114,-24,NA,NA,591,-261,NA,NA,128,-54,NA,NA,95,-3,NA,NA,80,-1,NA,NA
"83",2016-03-23,102,600,672,-72,NA,NA,132,2112,84,69,528,106,1512,2128,-616,NA,NA,175,-43,NA,NA,2800,-688,NA,NA,114,-12,NA,NA,657,-129,NA,NA,123,-17,NA,NA,89,-5,NA,NA,82,-13,NA,NA
"84",2016-03-24,106,624,564,60,NA,NA,95,1520,83,77,417,83,896,1580,-684,NA,NA,134,-39,NA,NA,2144,-624,NA,NA,96,10,NA,NA,534,-117,NA,NA,113,-30,NA,NA,92,-9,NA,NA,75,2,NA,NA
"85",2016-03-25,94,552,672,-120,NA,NA,140,2240,83,71,552,114,1688,1120,568,NA,NA,112,28,NA,NA,1792,448,NA,NA,114,-20,NA,NA,468,84,NA,NA,101,13,NA,NA,95,-12,NA,NA,89,-18,NA,NA
"86",2016-03-26,90,528,606,-78,NA,NA,133,2128,99,86,531,99,1600,1506,94,NA,NA,132,1,NA,NA,2112,16,NA,NA,103,-13,NA,NA,528,3,NA,NA,89,10,NA,NA,94,5,NA,NA,76,10,NA,NA
"87",2016-03-27,93,546,540,6,NA,NA,135,2160,96,82,537,114,1614,1252,362,NA,NA,112,23,NA,NA,1792,368,NA,NA,92,1,NA,NA,468,69,NA,NA,89,25,NA,NA,84,12,NA,NA,75,7,NA,NA
"88",2016-03-28,112,660,678,-18,NA,NA,133,2128,85,75,531,107,1468,1258,210,NA,NA,121,12,NA,NA,1936,192,NA,NA,115,-3,NA,NA,495,36,NA,NA,111,-4,NA,NA,78,7,NA,NA,68,7,NA,NA
"89",2016-03-29,119,702,684,18,NA,NA,138,2208,93,81,546,100,1506,804,702,NA,NA,93,45,NA,NA,1488,720,NA,NA,116,3,NA,NA,411,135,NA,NA,78,22,NA,NA,92,1,NA,NA,76,5,NA,NA
"90",2016-03-30,95,558,NA,NA,NA,NA,119,1904,85,74,489,109,1346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",2016-03-31,98,576,NA,NA,NA,NA,100,1600,82,68,432,81,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",2016-04-01,91,534,708,-174,NA,NA,151,2416,94,84,585,111,1882,828,1054,NA,NA,96,55,NA,NA,1536,880,NA,NA,120,-29,NA,NA,420,165,NA,NA,82,29,NA,NA,88,6,NA,NA,80,4,NA,NA
"93",2016-04-02,105,618,702,-84,NA,NA,137,2192,85,72,543,110,1574,1202,372,NA,NA,119,18,NA,NA,1904,288,NA,NA,119,-14,NA,NA,489,54,NA,NA,115,-5,NA,NA,91,-6,NA,NA,77,-5,NA,NA
"94",2016-04-03,111,654,654,0,NA,NA,128,2048,97,80,516,122,1394,962,432,NA,NA,101,27,NA,NA,1616,432,NA,NA,111,0,NA,NA,435,81,NA,NA,74,48,NA,NA,89,8,NA,NA,79,1,NA,NA
"95",2016-04-04,114,672,540,132,NA,NA,125,2000,84,76,507,87,1328,1044,284,NA,NA,99,26,NA,NA,1584,416,NA,NA,92,22,NA,NA,429,78,NA,NA,101,-14,NA,NA,90,-6,NA,NA,77,-1,NA,NA
"96",2016-04-05,101,594,666,-72,NA,NA,97,1552,82,72,423,93,958,230,728,NA,NA,56,41,NA,NA,896,656,NA,NA,113,-12,NA,NA,300,123,NA,NA,55,38,NA,NA,91,-9,NA,NA,75,-3,NA,NA
"97",2016-04-06,118,696,690,6,NA,NA,99,1584,89,75,429,86,888,1470,-582,NA,NA,135,-36,NA,NA,2160,-576,NA,NA,117,1,NA,NA,537,-108,NA,NA,111,-25,NA,NA,87,2,NA,NA,79,-4,NA,NA
"98",2016-04-07,116,684,588,96,NA,NA,100,1600,87,75,432,87,916,900,16,NA,NA,93,7,NA,NA,1488,112,NA,NA,100,16,NA,NA,411,21,NA,NA,70,17,NA,NA,87,0,NA,NA,76,-1,NA,NA
"99",2016-04-08,100,588,552,36,NA,NA,126,2016,88,77,510,84,1428,856,572,NA,NA,88,38,NA,NA,1408,608,NA,NA,94,6,NA,NA,396,114,NA,NA,85,-1,NA,NA,90,-2,NA,NA,79,-2,NA,NA
"100",2016-04-09,90,528,576,-48,NA,NA,141,2256,94,82,555,134,1728,1152,576,NA,NA,108,33,NA,NA,1728,528,NA,NA,98,-8,NA,NA,456,99,NA,NA,98,36,NA,NA,97,-3,NA,NA,79,3,NA,NA
