date,country,product_type,revenue
2018-01-08,Brazil,Monitoring Cameras,1261
2018-01-08,Germany,Fence,1669
2018-01-08,Brazil,Fence,1544
2018-01-08,Zimbabwe,Monitoring Cameras,1028
2018-01-09,Brazil,Fence,1360
2018-01-09,Brazil,Monitoring Cameras,1783
2018-01-09,United States of America,Monitoring Cameras,1380
2018-01-09,Brazil,Monitoring Cameras,1788
2018-01-10,United States of America,Monitoring Cameras,1153
2018-01-10,Spain,Sensoric Cables,1211
2018-01-10,Germany,Sensoric Cables,1710
2018-01-10,Spain,Monitoring Cameras,1713
2018-01-11,Sweden,Sensoric Cables,1138
2018-01-11,Spain,Fence,1991
2018-01-11,Germany,Monitoring Cameras,1310
2018-01-11,Sweden,Monitoring Cameras,1857
2018-01-11,Germany,Sensoric Cables,1527
2018-01-11,Brazil,Sensoric Cables,1327
2018-01-11,Brazil,Monitoring Cameras,1972
2018-01-11,Brazil,Fence,1722
2018-01-11,United States of America,Fence,1321
2018-01-11,Brazil,Sensoric Cables,1164
2018-01-12,Sweden,Sensoric Cables,1412
2018-01-12,Spain,Sensoric Cables,1160
2018-01-12,Brazil,Monitoring Cameras,1923
2018-01-12,Zimbabwe,Sensoric Cables,1401
2018-01-12,United States of America,Monitoring Cameras,1121
2018-01-12,Germany,Fence,1933
2018-01-12,Spain,Sensoric Cables,1663
2018-01-13,Germany,Fence,1585
2018-01-13,Sweden,Fence,1220
2018-01-13,Germany,Sensoric Cables,1147
2018-01-13,Sweden,Monitoring Cameras,1273
2018-01-13,Spain,Fence,1727
2018-01-14,Spain,Fence,1115
2018-01-14,Germany,Fence,1804
2018-01-14,Spain,Sensoric Cables,1016
2018-01-14,Spain,Fence,1724
2018-01-14,Zimbabwe,Fence,1172
2018-01-14,Brazil,Fence,1952
2018-01-14,Zimbabwe,Sensoric Cables,1788
2018-01-14,United States of America,Fence,1147
2018-01-15,Brazil,Fence,1572
2018-01-15,United States of America,Monitoring Cameras,1789
2018-01-15,United States of America,Sensoric Cables,1663
2018-01-15,Germany,Fence,1244
2018-01-15,Brazil,Fence,1037
2018-01-15,Zimbabwe,Fence,1454
2018-01-15,Brazil,Fence,1105
2018-01-15,Sweden,Fence,1820
2018-01-15,Brazil,Sensoric Cables,1484
2018-01-16,United States of America,Monitoring Cameras,1989
2018-01-16,Sweden,Sensoric Cables,1642
2018-01-16,Sweden,Monitoring Cameras,1164
2018-01-16,Sweden,Monitoring Cameras,1426
2018-01-16,United States of America,Monitoring Cameras,1743
2018-01-16,United States of America,Sensoric Cables,1251
2018-01-16,Brazil,Sensoric Cables,1088
2018-01-17,Sweden,Fence,1634
2018-01-17,Spain,Monitoring Cameras,1897
2018-01-17,Germany,Fence,1415
2018-01-17,Zimbabwe,Monitoring Cameras,1518
2018-01-17,United States of America,Monitoring Cameras,1067
2018-01-17,Zimbabwe,Sensoric Cables,1022
2018-01-18,Spain,Monitoring Cameras,1696
2018-01-18,Zimbabwe,Sensoric Cables,1668
2018-01-18,Zimbabwe,Fence,1044
2018-01-18,Germany,Sensoric Cables,1628
2018-01-18,Germany,Monitoring Cameras,1212
2018-01-18,Brazil,Sensoric Cables,1623
2018-01-18,Germany,Sensoric Cables,1058
2018-01-18,United States of America,Fence,1220
2018-01-19,Zimbabwe,Sensoric Cables,1536
2018-01-19,Brazil,Monitoring Cameras,1127
2018-01-19,Zimbabwe,Sensoric Cables,1779
2018-01-19,United States of America,Fence,1554
2018-01-19,Sweden,Sensoric Cables,1630
2018-01-19,Germany,Fence,1772
2018-01-19,Zimbabwe,Sensoric Cables,1942
2018-01-20,Zimbabwe,Sensoric Cables,1917
2018-01-20,Zimbabwe,Fence,1928
2018-01-20,Spain,Fence,1009
2018-01-20,Spain,Monitoring Cameras,1962
2018-01-20,Sweden,Fence,1075
2018-01-21,Brazil,Sensoric Cables,1383
2018-01-21,United States of America,Sensoric Cables,1645
2018-01-21,Sweden,Fence,1040
2018-01-21,Brazil,Sensoric Cables,1015
2018-01-21,Sweden,Sensoric Cables,1747
2018-01-22,Zimbabwe,Fence,1550
2018-01-22,Spain,Fence,1882
2018-01-22,Brazil,Fence,1400
2018-01-22,Brazil,Fence,1024
2018-01-22,Germany,Fence,1048
2018-01-23,Zimbabwe,Sensoric Cables,1506
2018-01-23,Sweden,Monitoring Cameras,1010
2018-01-23,United States of America,Sensoric Cables,1803
2018-01-23,Zimbabwe,Fence,1631
2018-01-24,United States of America,Fence,1346
2018-01-24,Brazil,Monitoring Cameras,1942
2018-01-24,Spain,Monitoring Cameras,1476
2018-01-24,Brazil,Monitoring Cameras,1326
2018-01-25,Brazil,Fence,1864
2018-01-25,Zimbabwe,Fence,1563
2018-01-25,Germany,Sensoric Cables,1716
2018-01-25,Brazil,Sensoric Cables,1917
2018-01-25,Germany,Sensoric Cables,1680
2018-01-25,United States of America,Monitoring Cameras,1647
2018-01-25,Zimbabwe,Monitoring Cameras,1477
2018-01-26,Spain,Monitoring Cameras,1133
2018-01-26,United States of America,Sensoric Cables,1316
2018-01-26,Germany,Monitoring Cameras,1167
2018-01-26,United States of America,Fence,1285
2018-01-27,United States of America,Sensoric Cables,1521
2018-01-27,Spain,Monitoring Cameras,1014
2018-01-27,Sweden,Sensoric Cables,1862
2018-01-27,Spain,Monitoring Cameras,1318
2018-01-27,Germany,Fence,1341
2018-01-27,Sweden,Monitoring Cameras,1125
2018-01-28,Spain,Fence,1328
2018-01-28,United States of America,Monitoring Cameras,1344
2018-01-28,Sweden,Monitoring Cameras,1427
2018-01-28,Spain,Sensoric Cables,1695
2018-01-28,Germany,Fence,1359
2018-01-28,United States of America,Sensoric Cables,1013
2018-01-28,Sweden,Sensoric Cables,1432
2018-01-28,Zimbabwe,Monitoring Cameras,1313
2018-01-28,United States of America,Monitoring Cameras,1181
2018-01-28,Zimbabwe,Fence,1967
2018-01-28,Germany,Sensoric Cables,1321
2018-01-28,Germany,Sensoric Cables,1012
2018-01-29,Zimbabwe,Monitoring Cameras,1954
2018-01-29,Zimbabwe,Monitoring Cameras,1679
2018-01-29,Germany,Fence,1996
2018-01-29,Sweden,Monitoring Cameras,1803
2018-01-29,United States of America,Sensoric Cables,1269
2018-01-29,United States of America,Fence,1185
2018-01-29,Brazil,Fence,1133
2018-01-29,United States of America,Fence,1365
2018-01-30,Brazil,Monitoring Cameras,1388
2018-01-30,United States of America,Fence,1044
2018-01-30,Spain,Monitoring Cameras,1863
2018-01-30,Germany,Sensoric Cables,1713
2018-01-30,Brazil,Fence,1401
2018-01-30,Sweden,Fence,1823
2018-01-30,Germany,Sensoric Cables,1883
2018-01-30,United States of America,Monitoring Cameras,1018
2018-01-31,Spain,Fence,1631
2018-01-31,Spain,Monitoring Cameras,1406
2018-01-31,Sweden,Sensoric Cables,1981
2018-01-31,Spain,Monitoring Cameras,1016
2018-01-31,Spain,Monitoring Cameras,1670
2018-02-01,Zimbabwe,Fence,1587
2018-02-01,Spain,Monitoring Cameras,1532
2018-02-01,United States of America,Sensoric Cables,1072
2018-02-01,Germany,Monitoring Cameras,1148
2018-02-01,Brazil,Fence,1296
2018-02-02,Germany,Sensoric Cables,1654
2018-02-02,Germany,Monitoring Cameras,1862
2018-02-02,Brazil,Fence,2000
2018-02-02,United States of America,Monitoring Cameras,1817
2018-02-02,Zimbabwe,Monitoring Cameras,1684
2018-02-02,Spain,Fence,1207
2018-02-02,Germany,Sensoric Cables,1611
2018-02-03,United States of America,Monitoring Cameras,1213
2018-02-03,Germany,Monitoring Cameras,1843
2018-02-03,Zimbabwe,Monitoring Cameras,1383
2018-02-03,Brazil,Sensoric Cables,1635
2018-02-04,Spain,Fence,1228
2018-02-04,Germany,Sensoric Cables,1836
2018-02-04,Germany,Sensoric Cables,1296
2018-02-04,Zimbabwe,Monitoring Cameras,1809
2018-02-05,United States of America,Sensoric Cables,1771
2018-02-05,Zimbabwe,Monitoring Cameras,1822
2018-02-05,Zimbabwe,Monitoring Cameras,1268
2018-02-05,Sweden,Fence,1852
2018-02-05,Brazil,Sensoric Cables,1499
2018-02-05,Sweden,Fence,1486
2018-02-05,Brazil,Fence,1380
2018-02-05,Spain,Fence,1579
2018-02-06,United States of America,Sensoric Cables,1143
2018-02-06,Sweden,Fence,1397
2018-02-06,Germany,Fence,1935
2018-02-06,Sweden,Monitoring Cameras,1851
2018-02-07,Brazil,Monitoring Cameras,1810
2018-02-07,Spain,Monitoring Cameras,1277
2018-02-07,Germany,Monitoring Cameras,1059
2018-02-07,Spain,Monitoring Cameras,1854
2018-02-08,Zimbabwe,Fence,1200
2018-02-08,Sweden,Sensoric Cables,1947
2018-02-08,Zimbabwe,Fence,1151
2018-02-08,United States of America,Monitoring Cameras,1634
2018-02-08,Brazil,Sensoric Cables,1906
2018-02-09,United States of America,Fence,1064
2018-02-09,Spain,Sensoric Cables,1633
2018-02-09,Zimbabwe,Monitoring Cameras,1476
2018-02-09,Germany,Monitoring Cameras,1841
2018-02-09,Germany,Monitoring Cameras,1524
2018-02-09,Germany,Fence,1910
2018-02-09,Germany,Fence,1001
2018-02-10,Zimbabwe,Fence,1575
2018-02-10,Spain,Fence,1824
2018-02-10,Sweden,Fence,1065
2018-02-10,Zimbabwe,Fence,1648
2018-02-10,Zimbabwe,Fence,1979
2018-02-10,Spain,Fence,1412
2018-02-10,Brazil,Monitoring Cameras,1409
2018-02-10,Zimbabwe,Monitoring Cameras,1900
2018-02-10,Zimbabwe,Monitoring Cameras,1591
2018-02-10,Sweden,Fence,1913
2018-02-11,Brazil,Sensoric Cables,1102
2018-02-11,Brazil,Monitoring Cameras,1321
2018-02-11,Germany,Monitoring Cameras,1621
2018-02-11,United States of America,Fence,1761
2018-02-11,Sweden,Sensoric Cables,1038
2018-02-11,Germany,Monitoring Cameras,1196
2018-02-11,Sweden,Fence,1784
2018-02-11,Sweden,Fence,1506
2018-02-11,Zimbabwe,Monitoring Cameras,1650
2018-02-12,United States of America,Monitoring Cameras,1469
2018-02-12,Brazil,Sensoric Cables,1277
2018-02-12,United States of America,Fence,1585
2018-02-12,Brazil,Sensoric Cables,1256
2018-02-12,Brazil,Fence,1321
2018-02-13,Zimbabwe,Monitoring Cameras,1805
2018-02-13,Germany,Sensoric Cables,1568
2018-02-13,Zimbabwe,Fence,1949
2018-02-14,Spain,Monitoring Cameras,1549
2018-02-14,Sweden,Fence,1238
2018-02-14,Germany,Monitoring Cameras,1568
2018-02-14,Zimbabwe,Fence,1899
2018-02-14,Brazil,Sensoric Cables,1901
2018-02-14,Spain,Sensoric Cables,1787
2018-02-15,United States of America,Monitoring Cameras,1441
2018-02-15,Sweden,Sensoric Cables,1712
2018-02-15,Spain,Sensoric Cables,1899
2018-02-15,United States of America,Monitoring Cameras,1635
2018-02-15,Spain,Fence,1575
2018-02-15,United States of America,Monitoring Cameras,1605
2018-02-15,Brazil,Monitoring Cameras,1159
2018-02-16,Sweden,Sensoric Cables,1996
2018-02-16,Germany,Sensoric Cables,1196
2018-02-16,Sweden,Fence,1626
2018-02-16,Sweden,Fence,1466
2018-02-16,Brazil,Monitoring Cameras,1669
2018-02-16,United States of America,Sensoric Cables,1680
2018-02-16,United States of America,Sensoric Cables,1104
2018-02-16,Germany,Fence,1942
2018-02-16,United States of America,Monitoring Cameras,1165
2018-02-17,Brazil,Fence,1666
2018-02-17,Spain,Monitoring Cameras,1107
2018-02-17,United States of America,Monitoring Cameras,1490
2018-02-17,Brazil,Monitoring Cameras,1759
2018-02-17,United States of America,Monitoring Cameras,1480
2018-02-17,Germany,Monitoring Cameras,1656
2018-02-17,United States of America,Fence,1810
2018-02-18,Germany,Fence,1339
2018-02-18,United States of America,Monitoring Cameras,1625
2018-02-18,United States of America,Monitoring Cameras,1263
2018-02-19,Spain,Fence,1539
2018-02-19,United States of America,Sensoric Cables,1265
2018-02-19,Spain,Sensoric Cables,1416
2018-02-19,Zimbabwe,Monitoring Cameras,1752
2018-02-19,Sweden,Sensoric Cables,1536
2018-02-19,Zimbabwe,Sensoric Cables,1491
2018-02-20,Zimbabwe,Fence,1155
2018-02-20,Germany,Sensoric Cables,1011
2018-02-20,Germany,Sensoric Cables,1952
2018-02-20,Zimbabwe,Sensoric Cables,1220
2018-02-20,Brazil,Fence,1135
2018-02-20,Germany,Monitoring Cameras,1069
2018-02-20,Sweden,Monitoring Cameras,1646
2018-02-20,Sweden,Fence,1390
2018-02-20,Spain,Sensoric Cables,1856
2018-02-20,Sweden,Fence,1567
2018-02-20,Spain,Fence,1790
2018-02-20,Brazil,Fence,1113
2018-02-20,Zimbabwe,Monitoring Cameras,1099
2018-02-21,Zimbabwe,Monitoring Cameras,1868
2018-02-21,Zimbabwe,Sensoric Cables,1162
2018-02-21,Germany,Monitoring Cameras,1744
2018-02-21,Brazil,Fence,1843
2018-02-22,Spain,Fence,1114
2018-02-22,Sweden,Monitoring Cameras,1206
2018-02-22,United States of America,Fence,1706
2018-02-22,Germany,Sensoric Cables,1695
2018-02-23,Sweden,Monitoring Cameras,1083
2018-02-23,United States of America,Sensoric Cables,1303
2018-02-23,Brazil,Sensoric Cables,1985
2018-02-23,Sweden,Fence,1134
2018-02-23,Brazil,Fence,1169
2018-02-23,United States of America,Fence,1484
2018-02-23,Brazil,Monitoring Cameras,1426
2018-02-23,United States of America,Sensoric Cables,1104
2018-02-24,Spain,Monitoring Cameras,1894
2018-02-24,Spain,Monitoring Cameras,1000
2018-02-24,Spain,Monitoring Cameras,1790
2018-02-24,Sweden,Fence,1346
2018-02-24,Spain,Fence,1984
2018-02-24,Spain,Fence,1311
2018-02-24,Germany,Monitoring Cameras,1992
2018-02-24,United States of America,Monitoring Cameras,1095
2018-02-24,United States of America,Monitoring Cameras,1268
2018-02-24,United States of America,Monitoring Cameras,1816
2018-02-24,Zimbabwe,Monitoring Cameras,1824
2018-02-25,Zimbabwe,Sensoric Cables,1378
2018-02-25,Germany,Fence,1136
2018-02-25,Zimbabwe,Monitoring Cameras,1223
2018-02-25,Spain,Fence,1595
2018-02-25,Spain,Monitoring Cameras,1840
2018-02-25,Zimbabwe,Monitoring Cameras,1740
2018-02-26,Germany,Monitoring Cameras,1256
2018-02-26,Zimbabwe,Sensoric Cables,1872
2018-02-26,United States of America,Monitoring Cameras,1305
2018-02-26,Germany,Fence,1174
2018-02-26,Germany,Monitoring Cameras,1561
2018-02-27,Sweden,Fence,1391
2018-02-27,Germany,Fence,1460
2018-02-27,Germany,Fence,1365
2018-02-27,United States of America,Monitoring Cameras,1318
2018-02-27,United States of America,Monitoring Cameras,1876
2018-02-27,Sweden,Sensoric Cables,1547
2018-02-27,Spain,Monitoring Cameras,1966
2018-02-27,Spain,Monitoring Cameras,1003
2018-02-28,Sweden,Fence,1517
2018-02-28,United States of America,Monitoring Cameras,1881
2018-02-28,Zimbabwe,Fence,1180
2018-02-28,Spain,Monitoring Cameras,1776
2018-02-28,United States of America,Monitoring Cameras,1871
2018-03-01,United States of America,Fence,1900
2018-03-01,United States of America,Fence,1546
2018-03-01,Sweden,Fence,1349
2018-03-01,Brazil,Sensoric Cables,1433
2018-03-01,Zimbabwe,Sensoric Cables,1900
2018-03-01,Zimbabwe,Monitoring Cameras,1982
2018-03-01,Sweden,Sensoric Cables,1312
2018-03-01,Brazil,Fence,1340
2018-03-01,Spain,Monitoring Cameras,1753
2018-03-02,Spain,Sensoric Cables,1720
2018-03-02,Spain,Monitoring Cameras,1331
2018-03-02,Sweden,Fence,1819
2018-03-02,United States of America,Sensoric Cables,1158
2018-03-02,United States of America,Sensoric Cables,1435
2018-03-03,Zimbabwe,Fence,1300
2018-03-03,United States of America,Sensoric Cables,1423
2018-03-03,United States of America,Sensoric Cables,1845
2018-03-03,Germany,Fence,1053
2018-03-03,Germany,Fence,1859
2018-03-03,Spain,Fence,1901
2018-03-03,Zimbabwe,Monitoring Cameras,1840
2018-03-04,Zimbabwe,Monitoring Cameras,1062
2018-03-04,Sweden,Monitoring Cameras,1618
2018-03-04,Spain,Monitoring Cameras,1893
2018-03-04,Brazil,Sensoric Cables,1474
2018-03-04,Spain,Monitoring Cameras,1886
2018-03-04,Zimbabwe,Monitoring Cameras,1125
2018-03-04,Zimbabwe,Fence,1228
2018-03-05,Sweden,Fence,1959
2018-03-05,United States of America,Fence,1975
2018-03-05,Zimbabwe,Monitoring Cameras,1450
2018-03-05,Germany,Sensoric Cables,1823
2018-03-05,United States of America,Fence,1078
2018-03-05,Spain,Fence,1518
2018-03-05,Zimbabwe,Fence,1438
2018-03-05,Brazil,Fence,1860
2018-03-05,United States of America,Sensoric Cables,1677
2018-03-06,Brazil,Monitoring Cameras,1966
2018-03-06,Zimbabwe,Sensoric Cables,1807
2018-03-06,Spain,Monitoring Cameras,1410
2018-03-06,Spain,Fence,1786
2018-03-06,Germany,Sensoric Cables,1093
2018-03-06,Zimbabwe,Sensoric Cables,1339
2018-03-06,Zimbabwe,Sensoric Cables,1759
2018-03-07,Sweden,Monitoring Cameras,1749
2018-03-07,Germany,Monitoring Cameras,1708
2018-03-07,Sweden,Fence,1678
2018-03-07,Spain,Fence,1905
2018-03-07,United States of America,Fence,1245
2018-03-07,Sweden,Fence,1277
2018-03-07,United States of America,Fence,1455
2018-03-07,United States of America,Fence,1579
2018-03-07,Spain,Sensoric Cables,1659
2018-03-07,Brazil,Sensoric Cables,1077
2018-03-08,Germany,Monitoring Cameras,1605
2018-03-08,United States of America,Monitoring Cameras,1004
2018-03-08,Brazil,Sensoric Cables,1024
2018-03-09,Spain,Sensoric Cables,1466
2018-03-09,Spain,Fence,1474
2018-03-09,United States of America,Fence,1680
2018-03-09,Germany,Fence,1760
2018-03-09,Germany,Sensoric Cables,1138
2018-03-09,Zimbabwe,Fence,1530
2018-03-09,Spain,Sensoric Cables,1175
2018-03-09,Germany,Fence,1774
2018-03-09,Zimbabwe,Fence,1545
2018-03-10,Brazil,Monitoring Cameras,1205
2018-03-10,Spain,Sensoric Cables,1067
2018-03-10,Sweden,Monitoring Cameras,1598
2018-03-10,Zimbabwe,Monitoring Cameras,1694
2018-03-10,Sweden,Fence,1243
2018-03-11,Zimbabwe,Monitoring Cameras,1385
2018-03-11,Sweden,Monitoring Cameras,1150
2018-03-11,Zimbabwe,Fence,1991
2018-03-12,Brazil,Monitoring Cameras,1806
2018-03-12,Sweden,Monitoring Cameras,1222
2018-03-12,United States of America,Sensoric Cables,1306
2018-03-12,United States of America,Monitoring Cameras,1011
2018-03-12,Spain,Fence,1367
2018-03-12,United States of America,Fence,1568
2018-03-12,Sweden,Fence,1739
2018-03-12,Germany,Sensoric Cables,1239
2018-03-13,Germany,Fence,1524
2018-03-13,Sweden,Sensoric Cables,1492
2018-03-13,United States of America,Fence,1192
2018-03-13,Sweden,Sensoric Cables,1292
2018-03-13,Sweden,Fence,1781
2018-03-13,Brazil,Monitoring Cameras,1729
2018-03-13,United States of America,Sensoric Cables,1268
2018-03-14,Spain,Fence,1967
2018-03-14,Brazil,Monitoring Cameras,1066
2018-03-14,Germany,Fence,1269
2018-03-14,Spain,Monitoring Cameras,1163
2018-03-14,United States of America,Sensoric Cables,1077
2018-03-14,Brazil,Sensoric Cables,1813
2018-03-14,United States of America,Sensoric Cables,1495
2018-03-14,Brazil,Sensoric Cables,1881
2018-03-14,Brazil,Sensoric Cables,1273
2018-03-14,Sweden,Monitoring Cameras,1212
2018-03-15,Brazil,Monitoring Cameras,1498
2018-03-15,Spain,Fence,1339
2018-03-15,Germany,Monitoring Cameras,1252
2018-03-15,Sweden,Monitoring Cameras,1991
2018-03-15,Brazil,Sensoric Cables,1553
2018-03-16,Spain,Monitoring Cameras,1143
2018-03-16,Zimbabwe,Sensoric Cables,1489
2018-03-16,Spain,Monitoring Cameras,1688
2018-03-16,United States of America,Fence,1612
2018-03-16,United States of America,Fence,1204
2018-03-16,Zimbabwe,Monitoring Cameras,1386
2018-03-16,Zimbabwe,Fence,1064
2018-03-16,Sweden,Sensoric Cables,1389
2018-03-16,Sweden,Sensoric Cables,1377
2018-03-17,Germany,Sensoric Cables,1285
2018-03-17,United States of America,Sensoric Cables,1541
2018-03-17,Germany,Monitoring Cameras,1963
2018-03-17,Sweden,Fence,1336
2018-03-18,Zimbabwe,Sensoric Cables,1769
2018-03-18,Sweden,Monitoring Cameras,1251
2018-03-18,Brazil,Monitoring Cameras,1973
2018-03-18,Brazil,Sensoric Cables,1100
2018-03-18,Zimbabwe,Monitoring Cameras,1325
2018-03-18,Brazil,Sensoric Cables,1922
2018-03-18,Zimbabwe,Monitoring Cameras,1179
2018-03-18,Zimbabwe,Fence,1602
2018-03-18,Zimbabwe,Monitoring Cameras,1232
2018-03-18,Sweden,Monitoring Cameras,1399
2018-03-18,United States of America,Monitoring Cameras,1846
2018-03-18,Sweden,Fence,1609
2018-03-19,Sweden,Monitoring Cameras,1037
2018-03-19,Spain,Monitoring Cameras,1763
2018-03-19,Spain,Monitoring Cameras,1511
2018-03-19,Spain,Monitoring Cameras,1425
2018-03-19,Spain,Monitoring Cameras,1158
2018-03-19,Sweden,Fence,1259
2018-03-19,Zimbabwe,Monitoring Cameras,1101
2018-03-20,Germany,Fence,1999
2018-03-20,Germany,Sensoric Cables,1080
2018-03-20,Sweden,Monitoring Cameras,1931
2018-03-20,Brazil,Fence,1449
2018-03-20,Sweden,Sensoric Cables,1229
2018-03-20,United States of America,Fence,1341
2018-03-20,Sweden,Sensoric Cables,1707
2018-03-20,United States of America,Sensoric Cables,1138
2018-03-20,Zimbabwe,Sensoric Cables,1222
2018-03-20,United States of America,Fence,1614
2018-03-20,Brazil,Monitoring Cameras,1032
2018-03-21,Sweden,Sensoric Cables,1014
2018-03-21,Spain,Monitoring Cameras,1009
2018-03-21,United States of America,Monitoring Cameras,1930
2018-03-21,Sweden,Fence,1857
2018-03-21,Sweden,Sensoric Cables,1772
2018-03-21,Germany,Fence,1554
2018-03-21,Spain,Monitoring Cameras,1789
2018-03-21,Germany,Monitoring Cameras,1989
2018-03-21,Zimbabwe,Fence,1110
2018-03-22,United States of America,Monitoring Cameras,1116
2018-03-22,Sweden,Sensoric Cables,1540
2018-03-22,Germany,Fence,1728
2018-03-22,Germany,Monitoring Cameras,1630
2018-03-22,Brazil,Sensoric Cables,1230
2018-03-22,United States of America,Fence,1375
2018-03-23,Spain,Fence,1573
2018-03-23,Zimbabwe,Monitoring Cameras,1929
2018-03-23,Brazil,Monitoring Cameras,1341
2018-03-23,United States of America,Monitoring Cameras,1236
2018-03-23,Sweden,Monitoring Cameras,1681
2018-03-23,Sweden,Monitoring Cameras,1641
2018-03-23,Sweden,Fence,1082
2018-03-23,Spain,Sensoric Cables,1082
2018-03-23,Sweden,Fence,1638
2018-03-23,Germany,Fence,1900
2018-03-24,Zimbabwe,Monitoring Cameras,1023
2018-03-24,Germany,Fence,1813
2018-03-24,Spain,Monitoring Cameras,1446
2018-03-24,Zimbabwe,Fence,1774
2018-03-24,Sweden,Sensoric Cables,1285
2018-03-24,Sweden,Fence,1901
2018-03-24,Spain,Fence,1926
2018-03-24,Spain,Monitoring Cameras,1580
2018-03-24,United States of America,Sensoric Cables,1925
2018-03-24,Sweden,Monitoring Cameras,1514
2018-03-24,Spain,Sensoric Cables,1547
2018-03-24,Germany,Monitoring Cameras,1021
2018-03-25,Germany,Fence,1506
2018-03-25,Brazil,Fence,1090
2018-03-25,Brazil,Fence,1924
2018-03-25,Spain,Fence,1089
2018-03-25,Spain,Fence,1525
2018-03-25,Spain,Fence,1294
2018-03-25,Sweden,Fence,1023
2018-03-26,Sweden,Fence,1528
2018-03-26,Brazil,Sensoric Cables,1172
2018-03-26,Spain,Fence,1363
2018-03-26,Zimbabwe,Sensoric Cables,1199
2018-03-26,Sweden,Monitoring Cameras,1068
2018-03-26,Zimbabwe,Fence,1965
2018-03-26,Germany,Monitoring Cameras,1274
2018-03-27,Zimbabwe,Sensoric Cables,1735
2018-03-27,Sweden,Sensoric Cables,1990
2018-03-27,Sweden,Sensoric Cables,1412
2018-03-27,United States of America,Fence,1960
2018-03-27,United States of America,Monitoring Cameras,1480
2018-03-27,Brazil,Fence,1332
2018-03-27,Zimbabwe,Fence,1268
2018-03-27,Spain,Monitoring Cameras,1792
2018-03-27,Brazil,Monitoring Cameras,1823
2018-03-27,Spain,Fence,1464
2018-03-27,Germany,Monitoring Cameras,1623
2018-03-27,Germany,Sensoric Cables,1448
2018-03-28,Spain,Fence,1765
2018-03-28,Zimbabwe,Fence,1539
2018-03-28,Brazil,Monitoring Cameras,1628
2018-03-28,Spain,Fence,1290
2018-03-28,United States of America,Monitoring Cameras,1278
2018-03-28,United States of America,Fence,1115
2018-03-28,Germany,Monitoring Cameras,1253
2018-03-28,Spain,Monitoring Cameras,1207
2018-03-29,Brazil,Fence,1172
2018-03-29,Brazil,Monitoring Cameras,1825
2018-03-29,Germany,Sensoric Cables,1537
2018-03-29,United States of America,Fence,1342
2018-03-29,Sweden,Fence,1620
2018-03-30,Zimbabwe,Monitoring Cameras,1387
2018-03-30,Sweden,Fence,1811
2018-03-30,Zimbabwe,Monitoring Cameras,1783
2018-03-30,Spain,Sensoric Cables,1381
2018-03-30,Brazil,Fence,1596
2018-03-30,United States of America,Sensoric Cables,1644
2018-03-30,Germany,Fence,1548
2018-03-30,Zimbabwe,Sensoric Cables,1197
2018-03-30,Zimbabwe,Fence,1219
2018-03-31,Germany,Fence,1657
2018-03-31,Spain,Monitoring Cameras,1010
2018-03-31,United States of America,Fence,1485
2018-03-31,Zimbabwe,Sensoric Cables,1979
2018-03-31,Brazil,Monitoring Cameras,1553
2018-03-31,Sweden,Fence,1877
2018-03-31,Spain,Fence,1525
2018-04-01,Sweden,Fence,1380
2018-04-01,Sweden,Fence,1771
2018-04-01,Spain,Monitoring Cameras,1243
